Date RSI14 RSI7 MACD STOCH5 STOCH14 PPO TREND10 TREND20 QUADTREND10 INTENSITY ADX14 AROONUP14 AROONDOWN14 AROON_DIFF CLOSE_MA_DIFF LIN_DEV QUAD_DEV PRICE_OSC VAR_RATIO MONEYFLOW
20120126   66.19956   67.99976    1.83326   71.50143   86.71896    0.79216   13.22355   23.88444   -0.27218   17.42321   23.81135  100.00000    0.00000  100.00000    0.81301  -27.39792  -11.55168  -32.46404  -41.57411   45.72945
20120127   65.82327   66.99100    1.22211   62.19133   82.35342    0.36773   10.32829   22.16991   -2.18853   24.72743   25.02734   92.85714    0.00000   92.85714   -0.82723  -27.05012    7.58699  -35.30082  -41.73621   44.29967
20120130   62.93585   59.29903    0.43420   54.53465   76.32243   -0.19011    3.58086   18.57392   -4.25617   27.92363   25.07293   85.71429    0.00000   85.71429   -5.66971  -28.69333    3.09938  -34.40276  -39.96816   45.92654
20120131   62.60717   58.42921   -0.01608   48.93113   72.00830   -0.65354    0.09216   14.55205   -3.69523   16.09419   25.50286   78.57143   21.42857   57.14286   -5.56941  -23.16158    8.22303  -33.83808  -38.93675   46.98743
20120201   66.88946   70.16876    0.05009   56.67210   75.88080   -0.58173    0.02900   14.59704   -0.00020   14.99066   26.35763   71.42857   14.28571   57.14286    7.88487   29.88425   30.75003  -32.97096  -40.50872   33.12566
20120202   67.61886   71.86195    0.42797   66.13668   79.69504   -0.52971    0.26441   16.42229    0.52967   11.28141   27.15133   64.28571    7.14286   57.14286   10.58798   26.30291   13.71823  -36.79708  -33.79052   28.53006
20120203   73.24076   82.26314    1.48585   76.83964   85.99715    0.12255    3.84730   15.23859    2.52831   14.15376   28.56613  100.00000    0.00000  100.00000   27.75833   38.81476   27.19058  -19.61744    2.56920   27.57761
20120206   72.58407   80.58159    1.88744   83.12149   89.64188    0.38600   10.27114   17.51397    3.98700   22.61259   29.87987   92.85714    0.00000   92.85714   22.04337   21.17903  -12.00526  -23.51737    5.48976   34.06785
20120207   73.54887   82.18634    1.93817   86.09472   91.54881    0.55193   12.45662   17.85916    3.38459   25.75646   31.30102  100.00000    0.00000  100.00000   18.82799   13.47491  -28.03265  -17.37429   -9.90636   33.09701
20120208   74.67802   84.00129    2.14488   90.39760   94.17208    0.66855   28.17665   21.57606    0.43614   26.98319   32.69937  100.00000   50.00000   50.00000   16.11561    2.59698  -20.94022  -26.59759  -18.94131   33.73655
20120209   75.16328   84.77064    2.32274   89.66691   94.72837    0.66253   29.88483   21.50108    0.00001   21.96252   34.14480  100.00000   42.85714   57.14286   11.89011  -15.43402  -16.09326  -23.81181  -44.11974   46.85612
20120210   67.02723   63.73821    2.00252   72.08682   89.07178    0.15381   23.85253   21.77728   -1.47818   20.41874   34.60560   92.85714   35.71429   57.14286   -5.83186  -38.55309  -25.57212  -33.45860  -42.99756   48.78518
20120213   70.46963   71.87835    1.71705   77.45972   91.32816    0.08539   18.36193   19.26208   -2.35159   17.53730   35.51070   85.71429   28.57143   57.14286    6.25577  -16.17438   26.01914  -19.73406  -43.42383   45.33655
20120214   69.14784   68.81426    1.10983   77.35379   91.80765   -0.13038   10.98916   18.57193   -2.01214   17.39481   35.78832   78.57143   21.42857   57.14286    2.14631  -18.60854   14.24414  -22.17162  -43.90456   56.51601
20120215   64.33211   58.10516   -0.03347   63.62859   87.20157   -0.59474    3.20864   15.32045   -3.72922    1.96528   36.31353  100.00000   14.28571   85.71429   -6.44645  -27.29568   -0.69790  -19.93016  -42.14911   50.38815
20120216   69.70572   70.69054   -0.21906   74.03569   90.81307   -0.41524    1.51830   14.72324    0.00164   15.92053   36.95891  100.00000    7.14286   92.85714   12.45731   31.16543   29.39728   -1.05122  -34.63898   57.41962
20120217   70.84848   72.97868    0.32673   79.60925   92.64289   -0.25466    3.60761   18.48796    0.29553   10.26369   37.76720  100.00000    0.00000  100.00000   15.08078   26.56257   15.00955  -11.25766  -32.46816   52.85220
20120221   71.04443   73.38252    0.38950   79.50139   91.16573   -0.22299    5.43772   19.66508    1.15795    3.71612   38.70253  100.00000    0.00000  100.00000   11.27974   15.89906   -7.30817  -23.95679  -28.08718   44.68074
20120222   67.46173   65.05994   -0.11352   74.01574   87.08577   -0.45426    7.53041   19.81434    0.52014   -2.50662   39.22336   92.85714    0.00000   92.85714    3.57116   -9.52824  -24.79201  -17.44404  -30.46130   35.97213
20120223   69.70513   70.40031    0.29191   77.52954   87.28454   -0.45931    9.91026   22.15607    0.04956    7.89117   39.31785   85.71429    0.00000   85.71429    9.00994    3.20761   -5.17424  -15.78364  -47.50572   35.02483
20120224   70.78968   72.82360    0.32284   79.72554   88.99489   -0.43060   17.94764   27.53595   -0.01479    6.47047   39.66523  100.00000   14.28571   85.71429    8.04529   -1.51481    5.15553  -30.36866  -46.16430   30.81253
20120227   71.62845   74.67820    0.19710   80.40840   89.49280   -0.40684   11.85377   21.99098    0.00004   16.87228   38.91511  100.00000    7.14286   92.85714    8.46429    1.35383    0.31554  -31.21920  -43.03080   29.49022
20120228   73.07611   77.75736    0.23301   84.53654   91.62059   -0.32520   16.54650   21.47664   -0.00884   21.45238   38.34525  100.00000    0.00000  100.00000   12.02504    3.39182   10.00682  -25.94176  -37.74287   29.81054
20120229   68.02925   65.25832   -0.59781   75.19307   85.44808   -0.55083    9.65056   16.25057   -0.32004   10.15409   38.12452  100.00000   14.28571   85.71429    2.11254  -26.71190  -10.25567  -24.67675  -45.44750   14.66599
20120301   70.87711   72.13011   -0.38590   77.04664   86.77392   -0.50353    9.49457   15.74902    0.00773   15.27653   37.91954   92.85714    7.14286   85.71429    9.11370   14.26647    7.31097  -24.13936  -45.22803   29.26946
20120302   67.07099   63.46635   -0.81172   72.42430   83.73760   -0.69555    7.36895   13.46130   -0.00385    5.41966   37.72921   85.71429    0.00000   85.71429    0.41683  -24.02862  -19.92300  -21.34159  -46.62877   16.57983
20120305   62.26980   53.47549   -1.55442   56.48540   76.97575   -1.07716    3.53374   13.46537   -1.90794   -1.78705   36.52023   78.57143    7.14286   71.42857   -8.61917  -36.28845  -22.04615  -10.59686  -43.76875   13.41540
20120306   48.82656   32.29342   -3.69065   41.05121   55.24920   -2.08416   -0.07125    4.28629  -10.40420   -6.04607   34.45169   71.42857    0.00000   71.42857  -30.25546  -41.28388  -34.57489   15.87426   -7.64289   10.46057
20120307   53.86754   44.37509   -4.17214   39.58043   48.57723   -2.35283   -2.26961    2.40922   -4.27157    4.98719   32.07411   64.28571    0.00000   64.28571  -13.53501  -11.50539   26.26527   23.10420   -4.36308   18.90654
20120308   59.96703   57.17850   -3.49070   52.20621   55.70986   -1.98282   -1.71257    2.11852   -0.03429    9.84278   30.84386   57.14286    0.00000   57.14286    7.80112   26.97881   31.68549   31.81899  -12.67353   15.07032
20120309   62.08635   61.26231   -2.69125   64.77627   65.07766   -1.52963   -0.63400    2.40536    0.84213   13.43896   30.11925   50.00000   78.57143  -28.57143   16.21105   29.25416   18.71768   32.62582   -9.63506   15.35441
20120312   62.12710   61.34349   -2.08410   73.24971   71.40992   -1.23639   -0.04151    1.90738    5.45915   11.85374   29.40477   42.85714   71.42857  -28.57143   16.25049   21.29584   -2.32680   28.28962   -3.08696   13.30921
20120313   70.57218   75.93159   -0.35483   81.71771   80.53551   -0.15202    1.56785    3.13987   10.60750   21.24870   30.08500  100.00000   64.28571   35.71429   37.22428   35.00332   15.87240   32.20165   11.18005   19.25791
20120314   69.56198   73.96230    0.72757   83.53625   84.06803    0.40341    6.44923    4.27015    9.81722   14.37974   30.86107  100.00000   57.14286   42.85714   27.37666   18.85778  -23.96270   21.57633    3.35661   24.10911
